matmult cycles/loop iteration
  n   jki   kji   ijk   jik   kij   ikj
 50  4.80  4.83  3.75  3.93  1.86  1.78
100  4.68  4.72  4.08  4.14  1.78  1.80
150  4.65  4.64  4.33  4.36  2.14  2.12
200  4.80  4.69  4.45  4.47  2.30  2.03
250  6.84  6.83  4.45  4.52  2.23  1.96
300 15.03 15.10  4.45  4.56  2.18  1.92
350 22.78 22.68  4.45  4.57  2.14  1.89
400 29.39 29.18  4.47  4.60  2.12  1.86
450 40.39 40.26  7.73  7.96  2.12  1.86
500 57.06 57.02 18.77 19.05  2.13  1.88
550 60.54 60.53 20.36 20.59  2.13  1.89
600 63.33 63.34 21.67 21.86  2.14  1.90
650 65.61 65.62 22.76 22.92  2.16  1.91
700 67.49 67.53 23.71 23.82  2.22  1.95
