             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  8.58  4.02  7.02  4.02  4.61  4.02  4.45  4.02  4.35  4.02      |
 | 2  |        4.79        3.53                    3.55                  |
 | 3  |              3.63                                                |
 | 4  |                    3.01                    2.89                  |
 | 5  |                          2.77                                    |
 | 6  |                                2.80                          2.64|
 | 7  |                                      2.88                        |
 | 8  |                                            2.85                  |
 | 9  |                                                  2.78            |
 | 10 |                                                        2.66      |
 | 12 |                                                              2.54|
 +-----------------------------------------------------------------------+
