             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  1.28  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01  1.01      |
 | 2  |        0.81        0.69                    0.54                  |
 | 3  |              0.73                                                |
 | 4  |                    0.70                    0.54                  |
 | 5  |                          0.59                                    |
 | 6  |                                0.56                          0.57|
 | 7  |                                      0.55                        |
 | 8  |                                            0.55                  |
 | 9  |                                                  0.55            |
 | 10 |                                                        0.54      |
 | 12 |                                                              0.56|
 +-----------------------------------------------------------------------+
