             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  8.59  4.02  7.02  4.01  4.61  4.02  4.45  4.02  4.35  4.02      |
 | 2  |        4.79        3.53                    3.54                  |
 | 3  |              3.63                                                |
 | 4  |                    3.01                    2.88                  |
 | 5  |                          2.76                                    |
 | 6  |                                2.80                          2.64|
 | 7  |                                      2.89                        |
 | 8  |                                            2.87                  |
 | 9  |                                                  2.80            |
 | 10 |                                                        2.66      |
 | 12 |                                                              2.54|
 +-----------------------------------------------------------------------+
