             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  2.76  2.74  3.01  2.74  3.01  3.01  3.01  1.79  3.01  3.01      |
 | 2  |        2.74        1.52                    1.52                  |
 | 3  |              1.01                                                |
 | 4  |                    1.01                    1.01                  |
 | 5  |                          1.01                                    |
 | 6  |                                1.02                          1.01|
 | 7  |                                      1.01                        |
 | 8  |                                            1.01                  |
 | 9  |                                                  1.00            |
 | 10 |                                                        1.01      |
 | 12 |                                                              1.01|
 +-----------------------------------------------------------------------+
