             Unroll
 +-----------------------------------------------------------------------+
 | SS |  1     2     3     4     5     6     7     8     9     10    12  |
 |    +------------------------------------------------------------------+
 | 1  |  9.02  6.02  9.02  6.01  6.62  6.02  6.45  6.02  6.35  6.02      |
 | 2  |        5.09        4.51                    4.52                  |
 | 3  |              3.78                                                |
 | 4  |                    3.15                    2.96                  |
 | 5  |                          2.86                                    |
 | 6  |                                2.95                          2.67|
 | 7  |                                      2.94                        |
 | 8  |                                            2.93                  |
 | 9  |                                                  2.91            |
 | 10 |                                                        2.69      |
 | 12 |                                                              2.57|
 +-----------------------------------------------------------------------+
